City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
4,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
5,Korla,CN,72.7,clear sky,41.7597,86.1469,Gulisitan Hotel
6,Kavaratti,IN,81.99,few clouds,10.5669,72.642,Green leaf
19,Acari,PE,73.99,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
21,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
27,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Cairns,AU,73.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
31,Rikitea,PF,70.29,few clouds,-23.1203,-134.9692,People ThankYou
36,Acapulco,MX,84.67,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
37,Faya,SA,73.92,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
39,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
42,Lander,US,73.11,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
49,Terrasini,IT,74.77,clear sky,38.146,13.0844,Florio Park Hotel
54,Karratha,AU,76.89,light rain,-20.7377,116.8463,ibis Styles Karratha
56,Sorong,ID,79.09,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
58,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
60,Laguna,US,88.63,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
61,Kapaa,US,78.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Kloulklubed,PW,83.61,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
74,Dingle,PH,75.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Moindou,NC,72.73,clear sky,-21.6924,165.677,Equi-lodge de Moindou
78,Pak Phanang,TH,79.12,broken clouds,8.3511,100.202,Green Park Inn Hotel
79,Merritt Island,US,88.21,scattered clouds,28.5392,-80.672,
81,Tupa,BR,79.0,clear sky,-21.9347,-50.5136,Grande Hotel Tamoios
82,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Sinnamary,GF,85.73,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Harper,LR,78.37,broken clouds,4.375,-7.7169,Screensaver
88,Kamakwie,SL,77.9,light rain,9.5,-12.2333,White House Hotel
89,Cam Ranh,VN,76.96,moderate rain,11.9214,109.1591,OYO 598 Peony Hotel
92,San Antero,CO,84.47,broken clouds,9.3741,-75.7589,Villamarina Inn chale
94,Caravelas,BR,70.95,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
95,Torbay,CA,70.57,few clouds,47.6666,-52.7314,Gallows Cove
96,Boulsa,BF,86.74,overcast clouds,12.6675,-0.5758,Auberge Relwende
97,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
99,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
103,Buenaventura,CO,83.77,overcast clouds,3.8801,-77.0312,Hotel Victoria
109,Ponta Do Sol,PT,76.71,overcast clouds,32.6667,-17.1,Hotel do Campo
112,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
113,Quang Ngai,VN,74.1,overcast clouds,15.1167,108.8,Central Hotel
116,Faanui,PF,77.49,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
119,Fortuna,US,77.65,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
124,Half Moon Bay,US,84.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
126,Babai,IN,72.68,overcast clouds,22.7,77.9333,Sumit Kahar
127,Zhanaozen,KZ,76.66,clear sky,43.3,52.8,K.korabay 28A
