City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Hermanus,ZA,-34.4187,19.2345,59.81,83,100,11.5,overcast clouds
1,Georgetown,MY,5.4112,100.3354,80.55,88,20,2.3,few clouds
2,Lebu,CL,-37.6167,-73.65,53.31,70,6,16.51,clear sky
3,Port Lincoln,AU,-34.7333,135.8667,53.51,74,73,5.12,moderate rain
4,Cabedelo,BR,-6.9811,-34.8339,86.67,69,98,11.14,overcast clouds
5,Korla,CN,41.7597,86.1469,72.7,19,3,5.1,clear sky
6,Kavaratti,IN,10.5669,72.642,81.99,73,13,11.56,few clouds
7,Norman Wells,CA,65.282,-126.8329,37.44,81,75,4.61,broken clouds
8,Jamestown,US,42.097,-79.2353,63.52,49,0,4.61,clear sky
9,Longyearbyen,SJ,78.2186,15.6401,35.69,96,86,8.01,light rain
10,Goderich,CA,43.7501,-81.7165,61.92,63,77,8.05,broken clouds
11,Adrar,MR,20.5022,-10.0711,98.28,24,64,2.1,broken clouds
12,Coquimbo,CL,-29.9533,-71.3436,58.73,72,75,6.91,broken clouds
13,La Ronge,CA,55.1001,-105.2842,57.45,47,0,9.22,clear sky
14,Kaparellion,GR,38.2333,23.2167,66.45,38,0,3.62,clear sky
15,Busselton,AU,-33.65,115.3333,54.37,65,94,2.82,overcast clouds
16,Kuzedeyevo,RU,53.3308,87.2019,46.2,56,100,2.82,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,63.46,71,0,25.28,clear sky
18,Hazorasp,UZ,41.3194,61.0742,66.04,14,0,9.24,clear sky
19,Acari,PE,-15.4311,-74.6158,73.99,46,96,10.94,overcast clouds
20,Nizhniy Tsasuchey,RU,50.5167,115.1333,40.95,66,51,7.29,light rain
21,Saint George,US,37.1041,-113.5841,79.43,22,0,3.44,clear sky
22,Sept-Iles,CA,50.2001,-66.3821,54.05,43,75,17.27,light rain
23,Mataura,NZ,-46.1927,168.8643,49.48,92,100,6.46,overcast clouds
24,Soe,ID,-9.8607,124.284,66.0,67,77,3.85,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,46.42,57,20,29.93,few clouds
26,Ushuaia,AR,-54.8,-68.3,40.66,70,40,20.71,scattered clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,89,5.99,overcast clouds
28,Solginskiy,RU,61.05,41.3428,43.57,95,100,14.12,overcast clouds
29,Cairns,AU,-16.9167,145.7667,73.35,93,100,0.0,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,37.26,97,98,18.59,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,70.29,70,20,16.84,few clouds
32,Bone,DE,51.9669,12.1396,61.9,64,98,9.6,light rain
33,Chokurdakh,RU,70.6333,147.9167,29.98,94,86,4.16,overcast clouds
34,Steamboat Springs,US,40.485,-106.8317,64.0,41,0,8.05,clear sky
35,Cabo San Lucas,MX,22.8909,-109.9124,90.18,74,35,5.93,scattered clouds
36,Acapulco,MX,16.8634,-99.8901,84.67,71,93,4.85,overcast clouds
37,Faya,SA,18.3851,42.4509,73.92,29,42,9.98,scattered clouds
38,Cape Town,ZA,-33.9258,18.4232,61.12,71,0,11.5,clear sky
39,Vaini,TO,-21.2,-175.2,73.56,94,75,9.22,broken clouds
40,Qaanaaq,GL,77.484,-69.3632,14.54,69,65,10.22,broken clouds
41,Bredasdorp,ZA,-34.5322,20.0403,55.96,95,100,6.85,overcast clouds
42,Lander,US,42.833,-108.7307,73.11,25,0,6.91,clear sky
43,Karaman,TR,37.0833,33.25,53.91,53,2,7.9,clear sky
44,Almeirim,BR,-1.5233,-52.5817,98.96,29,4,4.09,clear sky
45,Mirnyy,RU,62.5353,113.9611,30.24,92,99,8.99,overcast clouds
46,Thompson,CA,55.7435,-97.8558,53.76,87,75,5.75,broken clouds
47,Mahanoro,MG,-19.9,48.8,69.51,88,13,5.86,light rain
48,Severo-Kurilsk,RU,50.6789,156.125,53.08,98,100,14.23,overcast clouds
49,Terrasini,IT,38.146,13.0844,74.77,54,0,13.8,clear sky
50,Geraldton,AU,-28.7667,114.6,46.81,87,6,5.75,clear sky
51,Bethel,US,41.3712,-73.414,67.19,50,0,10.36,clear sky
52,Tarrega,ES,41.647,1.1396,68.59,65,87,3.02,overcast clouds
53,Iqaluit,CA,63.7506,-68.5145,37.13,69,20,12.66,few clouds
54,Karratha,AU,-20.7377,116.8463,76.89,26,1,10.47,light rain
55,Port Alfred,ZA,-33.5906,26.891,66.18,91,86,3.0,overcast clouds
56,Sorong,ID,-0.8833,131.25,79.09,87,100,12.93,overcast clouds
57,Barrow,US,71.2906,-156.7887,33.82,86,100,18.41,light snow
58,Gat,IL,31.61,34.7642,81.39,22,0,12.08,clear sky
59,Kodiak,US,57.79,-152.4072,45.91,87,75,5.75,broken clouds
60,Laguna,US,38.421,-121.4238,88.63,48,0,3.44,clear sky
61,Kapaa,US,22.0752,-159.319,78.1,91,0,6.91,light rain
62,Bluff,NZ,-46.6,168.3333,49.8,90,100,16.91,overcast clouds
63,Clyde River,CA,70.4692,-68.5914,32.23,69,75,17.27,broken clouds
64,Airai,TL,-8.9266,125.4092,59.59,76,18,1.63,few clouds
65,Dalbeattie,GB,54.9328,-3.8227,54.84,65,48,5.44,scattered clouds
66,Mahebourg,MU,-20.4081,57.7,71.89,73,75,17.27,broken clouds
67,Monte Alegre,BR,-2.0078,-54.0692,99.86,25,9,4.05,clear sky
