City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Petropavlovsk-Kamchatskiy,RU,2022-09-20 17:40:13,53.0452,158.6483,48.79,57,40,11.18
1,Bluff,NZ,2022-09-20 17:40:14,-46.6,168.3333,46.8,84,88,4.52
2,Hobart,AU,2022-09-20 17:37:50,-42.8794,147.3294,53.46,66,100,6.91
3,Bukama,CD,2022-09-20 17:40:14,-9.2,25.85,84.27,48,70,1.25
4,Lebu,CL,2022-09-20 17:40:14,-37.6167,-73.65,49.8,68,44,7.52
5,Rikitea,PF,2022-09-20 17:40:15,-23.1203,-134.9692,72.93,73,0,15.75
6,Henties Bay,NA,2022-09-20 17:40:15,-22.116,14.2845,58.24,63,0,7.58
7,Dunedin,NZ,2022-09-20 17:40:15,-45.8742,170.5036,48.79,91,87,1.01
8,Ayan,RU,2022-09-20 17:40:15,56.45,138.1667,39.04,61,4,15.37
9,Farafangana,MG,2022-09-20 17:40:16,-22.8167,47.8333,69.96,82,4,9.46
10,Hailey,US,2022-09-20 17:40:16,43.5196,-114.3153,70.81,33,0,11.5
11,Farap,TM,2022-09-20 17:40:16,39.1704,63.6116,75.2,29,0,9.22
12,Sao Filipe,CV,2022-09-20 17:40:16,14.8961,-24.4956,78.89,75,45,8.37
13,Mezokeresztes,HU,2022-09-20 17:40:17,47.8333,20.7,53.58,74,91,3.89
14,Aguas Formosas,BR,2022-09-20 17:40:17,-17.0822,-40.9358,92.62,30,22,5.19
15,Yellowknife,CA,2022-09-20 17:40:17,62.456,-114.3525,52.32,62,20,3.44
16,Urumqi,CN,2022-09-20 17:40:17,43.801,87.6005,63.55,27,0,2.24
17,Punta Arenas,CL,2022-09-20 17:40:18,-53.15,-70.9167,51.91,35,75,17.27
18,Tuktoyaktuk,CA,2022-09-20 17:40:18,69.4541,-133.0374,44.6,76,75,14.97
19,Georgetown,MY,2022-09-20 17:36:39,5.4112,100.3354,82.33,89,40,0.0
20,Puerto Ayora,EC,2022-09-20 17:40:18,-0.7393,-90.3518,73.36,91,97,11.01
21,Lagoa,PT,2022-09-20 17:40:19,39.05,-27.9833,74.32,79,61,3.6
22,Catuday,PH,2022-09-20 17:40:19,16.2923,119.8062,78.37,82,85,8.37
23,Bafq,IR,2022-09-20 17:40:19,31.6128,55.4107,84.65,14,11,7.92
24,Hofn,IS,2022-09-20 17:40:20,64.2539,-15.2082,51.22,92,52,10.92
25,Hilo,US,2022-09-20 17:38:10,19.7297,-155.09,78.62,80,0,6.91
26,Nizhniy Tsasuchey,RU,2022-09-20 17:40:20,50.5167,115.1333,49.55,64,100,12.55
27,Turbo,CO,2022-09-20 17:40:20,8.0937,-76.7269,86.13,60,100,6.31
28,Egvekinot,RU,2022-09-20 17:40:20,66.3167,-179.1667,32.16,88,35,5.75
29,Barrow,US,2022-09-20 17:40:21,71.2906,-156.7887,30.22,93,75,5.75
30,Ilulissat,GL,2022-09-20 17:40:21,69.2167,-51.1,39.22,87,75,10.36
31,San Jeronimo,PE,2022-09-20 17:40:21,-11.9472,-75.2829,63.79,40,79,5.66
32,Chuy,UY,2022-09-20 17:40:21,-33.6971,-53.4616,59.34,68,98,10.83
33,Hermanus,ZA,2022-09-20 17:40:22,-34.4187,19.2345,59.81,77,0,7.31
34,Beringovskiy,RU,2022-09-20 17:40:22,63.05,179.3167,38.86,81,30,13.58
35,Busselton,AU,2022-09-20 17:40:23,-33.65,115.3333,57.45,74,4,15.17
36,Mikhaylovka,RU,2022-09-20 17:40:23,50.06,43.2379,60.71,48,31,4.16
37,Arraial Do Cabo,BR,2022-09-20 17:40:24,-22.9661,-42.0278,80.56,73,0,13.8
38,Wainwright,CA,2022-09-20 17:40:24,52.839,-110.8572,50.18,60,90,14.34
39,Kahului,US,2022-09-20 17:40:24,20.8947,-156.47,80.83,72,20,16.11
40,Vaini,TO,2022-09-20 17:40:25,-21.2,-175.2,71.76,94,75,11.5
41,Ribeira Grande,PT,2022-09-20 17:40:25,38.5167,-28.7,79.2,78,20,9.22
42,Bredasdorp,ZA,2022-09-20 17:40:25,-34.5322,20.0403,52.72,90,1,4.52
43,Luganville,VU,2022-09-20 17:40:25,-15.5333,167.1667,77.13,85,20,7.09
44,Bathsheba,BB,2022-09-20 17:40:26,13.2167,-59.5167,90.21,70,40,24.16
45,Kapaa,US,2022-09-20 17:40:26,22.0752,-159.319,79.12,76,40,13.8
